feature_id,relevance_scaled,confidence_scaled,agreement,reliability,text_score,condition,llm_runs
F000001,0.75,1.0,1.0,1.0,0.75,real,3
F000002,0.5,1.0,1.0,1.0,0.5,real,3
F000003,0.5,1.0,1.0,1.0,0.5,real,3
F000004,0.5,1.0,1.0,1.0,0.5,real,3
F000005,1.0,1.0,1.0,1.0,1.0,real,3
F000006,1.0,1.0,1.0,1.0,1.0,real,3
F000007,1.0,1.0,1.0,1.0,1.0,real,3
F000008,1.0,1.0,1.0,1.0,1.0,real,3
F000009,0.75,1.0,0.5,0.5,0.625,real,3
F000010,1.0,1.0,1.0,1.0,1.0,real,3
F000011,0.5,1.0,1.0,1.0,0.5,real,3
F000012,0.5,1.0,1.0,1.0,0.5,real,3
F000013,0.75,1.0,1.0,1.0,0.75,real,3
F000014,0.25,1.0,1.0,1.0,0.25,real,3
F000015,1.0,1.0,1.0,1.0,1.0,real,3
F000016,0.75,1.0,1.0,1.0,0.75,real,3
F000017,1.0,1.0,1.0,1.0,1.0,real,3
F000018,0.5,1.0,1.0,1.0,0.5,real,3
F000019,1.0,1.0,1.0,1.0,1.0,real,3
F000020,1.0,1.0,1.0,1.0,1.0,real,3
F000021,1.0,1.0,1.0,1.0,1.0,real,3
F000022,1.0,1.0,1.0,1.0,1.0,real,3
F000023,1.0,1.0,1.0,1.0,1.0,real,3
F000024,1.0,1.0,1.0,1.0,1.0,real,3
F000025,0.75,1.0,0.5,0.5,0.625,real,3
F000026,1.0,1.0,1.0,1.0,1.0,real,3
F000027,1.0,1.0,1.0,1.0,1.0,real,3
F000028,0.75,1.0,0.5,0.5,0.625,real,3
F000029,0.75,1.0,1.0,1.0,0.75,real,3
F000030,0.75,1.0,1.0,1.0,0.75,real,3
F000031,0.75,1.0,1.0,1.0,0.75,real,3
F000032,0.75,1.0,1.0,1.0,0.75,real,3
F000033,0.5,1.0,1.0,1.0,0.5,real,3
F000034,0.75,1.0,1.0,1.0,0.75,real,3
F000035,0.5,1.0,1.0,1.0,0.5,real,3
F000036,0.5,1.0,1.0,1.0,0.5,real,3
F000037,0.5,1.0,1.0,1.0,0.5,real,3
F000038,0.5,1.0,1.0,1.0,0.5,real,3
F000039,0.5,1.0,1.0,1.0,0.5,real,3
F000040,0.5,1.0,1.0,1.0,0.5,real,3
F000041,0.5,1.0,1.0,1.0,0.5,real,3
F000042,0.5,1.0,1.0,1.0,0.5,real,3
F000043,0.75,1.0,1.0,1.0,0.75,real,3
F000044,0.5,1.0,1.0,1.0,0.5,real,3
F000045,0.5,1.0,1.0,1.0,0.5,real,3
F000046,0.5,1.0,1.0,1.0,0.5,real,3
F000047,0.75,1.0,1.0,1.0,0.75,real,3
F000048,0.5,1.0,1.0,1.0,0.5,real,3
F000049,0.75,1.0,1.0,1.0,0.75,real,3
F000050,0.5,1.0,1.0,1.0,0.5,real,3
F000051,0.5,1.0,1.0,1.0,0.5,real,3
F000052,0.75,1.0,1.0,1.0,0.75,real,3
F000053,0.5,1.0,1.0,1.0,0.5,real,3
F000054,0.5,1.0,1.0,1.0,0.5,real,3
F000055,0.5,1.0,1.0,1.0,0.5,real,3
F000056,0.75,1.0,1.0,1.0,0.75,real,3
F000057,0.5,1.0,1.0,1.0,0.5,real,3
F000058,0.75,1.0,1.0,1.0,0.75,real,3
F000059,0.5,1.0,1.0,1.0,0.5,real,3
F000060,0.5,1.0,1.0,1.0,0.5,real,3
F000061,0.5,1.0,1.0,1.0,0.5,real,3
F000062,0.25,1.0,1.0,1.0,0.25,real,3
F000063,0.25,1.0,1.0,1.0,0.25,real,3
F000064,0.25,1.0,1.0,1.0,0.25,real,3
F000065,0.25,1.0,1.0,1.0,0.25,real,3
F000066,0.25,1.0,1.0,1.0,0.25,real,3
F000067,0.25,1.0,1.0,1.0,0.25,real,3
F000068,0.25,1.0,1.0,1.0,0.25,real,3
F000069,0.75,1.0,1.0,1.0,0.75,real,3
F000070,0.5,1.0,1.0,1.0,0.5,real,3
F000071,0.5,1.0,1.0,1.0,0.5,real,3
F000072,0.5,1.0,1.0,1.0,0.5,real,3
F000073,0.5,1.0,1.0,1.0,0.5,real,3
F000074,0.75,1.0,1.0,1.0,0.75,real,3
F000075,0.5,1.0,1.0,1.0,0.5,real,3
F000076,0.5,1.0,1.0,1.0,0.5,real,3
F000077,0.75,1.0,1.0,1.0,0.75,real,3
F000078,0.5,1.0,1.0,1.0,0.5,real,3
F000079,0.5,1.0,1.0,1.0,0.5,real,3
F000080,0.5,1.0,1.0,1.0,0.5,real,3
F000081,0.25,1.0,1.0,1.0,0.25,real,3
F000082,0.25,1.0,1.0,1.0,0.25,real,3
F000083,0.25,1.0,1.0,1.0,0.25,real,3
F000084,0.25,1.0,1.0,1.0,0.25,real,3
F000085,0.5,1.0,1.0,1.0,0.5,real,3
F000086,0.25,1.0,1.0,1.0,0.25,real,3
F000087,0.25,1.0,1.0,1.0,0.25,real,3
F000088,0.25,1.0,1.0,1.0,0.25,real,3
F000089,0.25,1.0,1.0,1.0,0.25,real,3
F000090,0.25,1.0,1.0,1.0,0.25,real,3
F000091,0.25,1.0,1.0,1.0,0.25,real,3
F000092,0.25,1.0,1.0,1.0,0.25,real,3
F000093,0.25,1.0,1.0,1.0,0.25,real,3
F000094,0.25,1.0,1.0,1.0,0.25,real,3
F000095,0.5,1.0,1.0,1.0,0.5,real,3
F000096,0.75,1.0,1.0,1.0,0.75,real,3
F000097,0.5,1.0,1.0,1.0,0.5,real,3
F000098,0.5,1.0,1.0,1.0,0.5,real,3
F000099,0.5,1.0,1.0,1.0,0.5,real,3
F000100,0.25,1.0,1.0,1.0,0.25,real,3
F000101,0.25,1.0,1.0,1.0,0.25,real,3
F000102,0.5,1.0,1.0,1.0,0.5,real,3
F000103,0.5,1.0,1.0,1.0,0.5,real,3
F000104,0.5,1.0,1.0,1.0,0.5,real,3
F000105,0.5,1.0,1.0,1.0,0.5,real,3
F000106,0.25,1.0,1.0,1.0,0.25,real,3
F000107,0.25,1.0,1.0,1.0,0.25,real,3
F000108,0.25,1.0,1.0,1.0,0.25,real,3
F000109,0.25,1.0,1.0,1.0,0.25,real,3
F000110,0.5,1.0,1.0,1.0,0.5,real,3
F000111,0.25,1.0,1.0,1.0,0.25,real,3
F000112,0.5,1.0,1.0,1.0,0.5,real,3
F000113,0.5,1.0,1.0,1.0,0.5,real,3
F000114,0.5,1.0,1.0,1.0,0.5,real,3
F000115,0.25,1.0,1.0,1.0,0.25,real,3
F000116,0.5,1.0,1.0,1.0,0.5,real,3
F000117,0.25,1.0,1.0,1.0,0.25,real,3
F000118,0.5,1.0,1.0,1.0,0.5,real,3
F000119,0.25,1.0,1.0,1.0,0.25,real,3
F000120,0.25,1.0,1.0,1.0,0.25,real,3
F000121,0.5,1.0,1.0,1.0,0.5,real,3
F000122,0.25,1.0,1.0,1.0,0.25,real,3
F000123,0.25,1.0,1.0,1.0,0.25,real,3
F000124,0.25,1.0,1.0,1.0,0.25,real,3
F000125,0.5,1.0,1.0,1.0,0.5,real,3
F000126,0.25,1.0,1.0,1.0,0.25,real,3
F000127,0.25,1.0,1.0,1.0,0.25,real,3
